Designator,Mid X,Mid Y,Rotation,Layer
AZ1UBALL_L1,119.295002,-112.515001,90.0,top
D1,57.144431,-71.001955,90.0,top
D10,95.244432,-90.686955,90.0,top
D11,146.679433,-114.816957,90.0,top
D12,114.294431,-48.141958,90.0,top
D13,114.294431,-67.19196,90.0,top
D14,114.294431,-86.24196,90.0,top
D15,168.777678,-107.799427,150.0,top
D16,133.344431,-52.586957,90.0,top
D17,133.344431,-71.636957,90.0,top
D18,133.344431,-90.686957,90.0,top
D19,185.275476,-117.324434,150.0,top
D2,57.144431,-90.051955,90.0,top
D20,152.394434,-57.666956,90.0,top
D21,152.394434,-76.716956,90.0,top
D22,152.394434,-95.766956,90.0,top
D23,191.237638,-120.766691,150.0,top
D24,173.825739,-101.12455,0.0,top
D3,57.144431,-109.101955,90.0,top
D4,76.194432,-61.476955,90.0,top
D5,76.194431,-80.526955,90.0,top
D6,76.194431,-99.576955,90.0,top
D7,107.745996,-112.435495,90.0,top
D8,95.244431,-52.58696,90.0,top
D9,95.244431,-71.636956,90.0,top
JACK1,188.389845,-79.121918,90.0,bottom
L1,183.744458,-129.501258,300.0,bottom
L10,48.810002,-95.052513,0.0,bottom
L11,67.860002,-85.527513,0.0,bottom
L12,86.91,-76.637516,0.0,bottom
L13,105.96,-72.192514,0.0,bottom
L14,125.010072,-76.637514,0.0,bottom
L15,144.060003,-81.717511,0.0,bottom
L16,144.060002,-62.667513,0.0,bottom
L17,125.01,-57.587513,0.0,bottom
L18,105.96,-53.142514,0.0,bottom
L19,86.91,-57.587514,0.0,bottom
L2,167.234457,-119.976257,300.0,bottom
L20,67.860001,-66.477515,0.0,bottom
L21,48.810002,-76.002511,0.0,bottom
L3,138.345002,-119.817513,0.0,bottom
L4,144.06,-100.767513,0.0,bottom
L5,125.01,-95.687513,0.0,bottom
L6,105.96,-91.242516,0.0,bottom
L7,86.910001,-95.687515,0.0,bottom
L8,67.860002,-104.577513,0.0,bottom
L9,48.810002,-114.102512,0.0,bottom
OLED_L1,173.825742,-79.395845,0.0,top
Q1,159.538229,-53.841873,0.0,bottom
R1,157.75229,-45.462948,90.0,top
R2,161.324168,-45.462948,90.0,top
RESET_SW1,191.7785,-60.71,90.0,bottom
SW1,48.810001,-71.24,0.0,top
SW10,86.910001,-90.925001,0.0,top
SW11,138.345002,-115.054999,0.0,top
SW12,105.960003,-48.380002,0.0,top
SW13,105.960003,-67.430001,0.0,top
SW14,105.960003,-86.480001,0.0,top
SW15,163.110003,-117.594999,60.0,top
SW16,125.010003,-52.825001,0.0,top
SW17,125.010073,-71.875001,0.0,top
SW18,125.010004,-90.925,0.0,top
SW19,179.62,-127.120002,60.0,top
SW2,48.810002,-90.289999,0.0,top
SW20,144.060003,-57.905002,0.0,top
SW21,144.060003,-76.955001,0.0,top
SW22,144.060003,-96.005001,0.0,top
SW23,179.62,-127.120002,240.0,top
SW24,173.82574,-90.409155,180.0,top
SW3,48.810002,-109.339999,0.0,top
SW4,67.860001,-61.715004,0.0,top
SW5,67.860002,-80.765003,0.0,top
SW6,67.860002,-99.814999,0.0,top
SW7_2,119.295002,-112.515001,180.0,top
SW7,119.445002,-112.515001,180.0,top
SW8,86.910003,-52.825001,0.0,top
SW9,86.910003,-71.875001,0.0,top
U1,173.825737,-57.07157,0.0,top
