Designator,Mid X,Mid Y,Rotation,Layer
AZ1UBALL_L2,133.346316,-119.737178,270.0,top
D25,116.915746,-64.889134,90.0,top
D26,116.915746,-83.939134,90.0,top
D27,116.915746,-102.989134,90.0,top
D28,72.119314,-146.984688,30.0,top
D29,135.965746,-59.809134,90.0,top
D30,135.965746,-78.859134,90.0,top
D31,135.965746,-97.909134,90.0,top
D32,79.26307,-142.817498,30.0,top
D33,155.015746,-55.364134,90.0,top
D34,155.015746,-74.414134,90.0,top
D35,155.015746,-93.464134,90.0,top
D36,94.741208,-133.887802,30.0,top
D37,174.065746,-59.809134,90.0,top
D38,174.065746,-78.859134,90.0,top
D39,174.065746,-97.909134,90.0,top
D40,122.630746,-122.039134,90.0,top
D41,193.115746,-68.699134,90.0,top
D42,193.115746,-87.749134,90.0,top
D43,193.115746,-106.799134,90.0,top
D44,144.697172,-120.252984,90.0,top
D45,210.776915,-83.938892,90.0,top
D46,210.776915,-102.988907,90.0,top
D47,210.776915,-122.038923,90.0,top
D48,78.617429,-108.346724,0.0,top
JACK2,64.24891,-86.306594,270.0,bottom
L22,68.89686,-136.723434,60.0,bottom
L23,85.40686,-127.198434,60.0,bottom
L24,114.296316,-127.03969,0.0,bottom
L25,108.581316,-107.98969,0.0,bottom
L26,127.631316,-102.90969,0.0,bottom
L27,146.681316,-98.46469,0.0,bottom
L28,165.731316,-102.909691,0.0,bottom
L29,184.781316,-111.799691,0.0,bottom
L30,203.831316,-121.324691,0.0,bottom
L31,203.831316,-102.274691,0.0,bottom
L32,184.781316,-92.749691,0.0,bottom
L33,165.731316,-83.85969,0.0,bottom
L34,146.681316,-79.41469,0.0,bottom
L35,127.631316,-83.85969,0.0,bottom
L36,108.581316,-88.93969,0.0,bottom
L37,108.581316,-69.88969,0.0,bottom
L38,127.631316,-64.80969,0.0,bottom
L39,146.681316,-60.36469,0.0,bottom
L40,165.731316,-64.80969,0.0,bottom
L41,184.781316,-73.699691,0.0,bottom
L42,203.831316,-83.224691,0.0,bottom
OLED_L2,78.617429,-86.618023,0.0,top
Q2,92.904941,-61.06405,180.0,bottom
R3,94.69088,-52.685125,90.0,top
R4,91.119002,-52.685125,90.0,top
RESET_SW2,60.862816,-67.982178,270.0,bottom
SW25,108.581316,-65.127178,0.0,top
SW26,108.581316,-84.177178,0.0,top
SW27,108.581316,-103.227178,0.0,top
SW28,73.021316,-134.342178,120.0,top
SW29,127.631316,-60.047178,0.0,top
SW30,127.631316,-79.097178,0.0,top
SW31,127.631316,-98.147178,0.0,top
SW32,73.021316,-134.342178,300.0,top
SW33,146.681316,-55.602178,0.0,top
SW34,146.681317,-74.652178,0.0,top
SW35,146.681317,-93.702178,0.0,top
SW36,89.531316,-124.817178,300.0,top
SW37,165.731316,-60.047179,0.0,top
SW38,165.731316,-79.097179,0.0,top
SW39,165.731315,-98.147178,0.0,top
SW40,114.296316,-122.277178,0.0,top
SW41,184.781315,-68.937178,0.0,top
SW42,184.781315,-87.987178,0.0,top
SW43,184.781315,-107.037178,0.0,top
SW44_2,133.196316,-119.737178,0.0,top
SW44,133.346316,-119.737178,180.0,top
SW45,203.831315,-78.462178,0.0,top
SW46,203.831315,-97.512179,0.0,top
SW47,203.831315,-116.562179,0.0,top
SW48,78.617429,-97.631332,180.0,top
U2,78.617429,-64.293749,0.0,top
